id,name,category,gender,follower_count,platform
1,Aarav Sharma,Fitness,Male,1500000,Instagram
2,Priya Singh,Nutrition,Female,850000,YouTube
3,Rohan Gupta,Bodybuilding,Male,2200000,Instagram
4,Sneha Verma,Wellness,Female,500000,YouTube
5,Vikram Kumar,Powerlifting,Male,750000,Instagram
6,Ananya Reddy,Yoga,Female,1200000,Instagram
7,Karan Malhotra,Crossfit,Male,950000,YouTube
8,Diya Joshi,Health,Female,600000,Twitter
9,Arjun Mehta,MMA,Male,650000,Twitter
10,Aditi Rao,Yoga & Wellness,Female,1800000,Instagram
11,Sameer Khan,Bodybuilding,Male,3100000,Instagram
12,Neha Desai,Nutrition,Female,1100000,YouTube
13,Rajesh Verma,Powerlifting,Male,550000,Instagram
14,Pooja Shah,Fitness,Female,980000,Instagram
15,Ankit Agarwal,Crossfit,Male,720000,YouTube
