source,campaign,influencer_id,user_id,product,date,orders,revenue
Instagram,MB_Whey_Launch,1,CUST001,MuscleBlaze Whey,2024-04-02,1,2500
YouTube,HKVitals_Daily,2,CUST002,HKVitals Multivitamin,2024-04-04,1,800
Instagram,Gritzo_Kids,3,CUST003,Gritzo SuperMilk,2024-04-06,2,1500
YouTube,Wellness_Month,4,CUST004,HKVitals Biotin,2024-04-09,1,600
Instagram,MB_Power,5,CUST005,MuscleBlaze Pre-Workout,2024-04-13,1,1800
Instagram,Yoga_Essentials,6,CUST006,HKVitals Fish Oil,2024-04-16,1,900
YouTube,CrossFit_Fuel,7,CUST007,MuscleBlaze BCAA,2024-04-19,1,1200
Twitter,Health_Tips,8,CUST008,HKVitals Multivitamin,2024-04-21,1,800
Twitter,MMA_Fuel,9,CUST009,MuscleBlaze BCAA,2024-04-23,1,1200
Instagram,Wellness_Month,10,CUST010,HKVitals Biotin,2024-04-26,2,1200
Instagram,MB_Whey_Launch,11,CUST011,MuscleBlaze Whey,2024-04-29,5,12500
YouTube,Nutrition_101,12,CUST012,HKVitals Multivitamin,2024-05-02,3,2400
Instagram,MB_Power,13,CUST013,MuscleBlaze Pre-Workout,2024-05-06,1,1800
Instagram,Fitness_Fun,14,CUST014,Gritzo SuperMilk,2024-05-13,1,750
YouTube,CrossFit_Fuel,15,CUST015,MuscleBlaze BCAA,2024-05-19,2,2400
Instagram,MB_Whey_Launch,1,CUST016,MuscleBlaze Whey,2024-05-11,2,5000
YouTube,HKVitals_Daily,2,CUST017,HKVitals Multivitamin,2024-05-16,3,2400
Instagram,Gritzo_Kids,3,CUST018,Gritzo SuperMilk,2024-05-21,3,2250
YouTube,Wellness_Month,4,CUST019,HKVitals Biotin,2024-05-26,1,600
Instagram,MB_Power,5,CUST020,MuscleBlaze Pre-Workout,2024-06-02,1,1800
Instagram,Yoga_Essentials,6,CUST021,HKVitals Fish Oil,2024-06-06,2,1800
YouTube,CrossFit_Fuel,7,CUST022,MuscleBlaze BCAA,2024-06-11,1,1200
Twitter,Health_Tips,8,CUST023,HKVitals Multivitamin,2024-06-13,1,800
Twitter,MMA_Fuel,9,CUST024,MuscleBlaze BCAA,2024-06-16,2,2400
Instagram,Wellness_Month,10,CUST025,HKVitals Biotin,2024-06-19,3,1800
Instagram,MB_Whey_Launch,11,CUST026,MuscleBlaze Whey,2024-06-21,6,15000
YouTube,Nutrition_101,12,CUST027,HKVitals Multivitamin,2024-06-23,4,3200
Instagram,MB_Power,13,CUST028,MuscleBlaze Pre-Workout,2024-06-26,1,1800
Instagram,Fitness_Fun,14,CUST029,Gritzo SuperMilk,2024-06-29,2,1500
YouTube,CrossFit_Fuel,15,CUST030,MuscleBlaze BCAA,2024-07-02,2,2400
Instagram,MB_Whey_Launch,1,CUST031,MuscleBlaze Whey,2024-04-05,2,5000
YouTube,HKVitals_Daily,2,CUST032,HKVitals Fish Oil,2024-04-07,1,900
Instagram,Gritzo_Kids,3,CUST033,Gritzo SuperMilk,2024-04-08,1,750
Instagram,MB_Whey_Launch,1,CUST034,MuscleBlaze Whey,2024-05-15,3,7500
YouTube,HKVitals_Daily,2,CUST035,HKVitals Multivitamin,2024-05-20,2,1600
Instagram,Gritzo_Kids,3,CUST036,Gritzo SuperMilk,2024-05-25,4,3000
YouTube,Wellness_Month,4,CUST037,HKVitals Biotin,2024-05-28,2,1200
Instagram,MB_Power,5,CUST038,MuscleBlaze Pre-Workout,2024-06-05,2,3600
Instagram,Yoga_Essentials,6,CUST039,HKVitals Fish Oil,2024-06-10,3,2700
YouTube,CrossFit_Fuel,7,CUST040,MuscleBlaze BCAA,2024-06-15,2,2400
Twitter,Health_Tips,8,CUST041,HKVitals Multivitamin,2024-06-18,1,800
Twitter,MMA_Fuel,9,CUST042,MuscleBlaze BCAA,2024-06-20,1,1200
Instagram,Wellness_Month,10,CUST043,HKVitals Biotin,2024-06-22,4,2400
Instagram,MB_Whey_Launch,11,CUST044,MuscleBlaze Whey,2024-06-25,8,20000
YouTube,Nutrition_101,12,CUST045,HKVitals Multivitamin,2024-06-28,5,4000
Instagram,MB_Power,13,CUST046,MuscleBlaze Pre-Workout,2024-07-01,2,3600
Instagram,Fitness_Fun,14,CUST047,Gritzo SuperMilk,2024-07-03,3,2250
YouTube,CrossFit_Fuel,15,CUST048,MuscleBlaze BCAA,2024-07-05,3,3600
Instagram,MB_Whey_Launch,1,CUST049,MuscleBlaze Whey,2024-07-02,1,2500
YouTube,HKVitals_Daily,2,CUST050,HKVitals Multivitamin,2024-07-04,1,800
Instagram,Gritzo_Kids,3,CUST051,Gritzo SuperMilk,2024-07-06,2,1500
YouTube,Wellness_Month,4,CUST052,HKVitals Biotin,2024-07-09,1,600
Instagram,MB_Power,5,CUST053,MuscleBlaze Pre-Workout,2024-07-13,1,1800
Instagram,Yoga_Essentials,6,CUST054,HKVitals Fish Oil,2024-07-16,1,900
YouTube,CrossFit_Fuel,7,CUST055,MuscleBlaze BCAA,2024-07-19,1,1200
